ICAO,IATA,Nome_Aeroporto,Cidade
SN8P,,Fazenda Jacamim Airport,Nova Mutum
SN8Q,,Hangar MM Air Heliport,Ponta Grossa
SN8R,,Sítio Santo Antonio da União Heliport,Ribeirão Preto
SN8S,,Alta Vista Airport,São Desidério
SN8T,,Angra II Helipad,Angra dos Reis
SN8U,,Fazenda Gabriela do Xingu Airport,São Félix do Araguaia
SN8V,,Fazenda Tamburi Airport,Nova Crixás
SN8W,,Fazenda Saúde Airport,Itiquira
SN8X,,Fazenda Santa Maria do Jacamim Airport,Cantá
SN8Z,,Fazenda São Francisco Airport,São José do Xingu
SN96,,Fazenda Lavrinha Heliport,Luziânia
SN9A,,Fazenda Brahman Airstrip,Monte Alegre
SN9B,,Fazenda Esteio Airport,Guiratinga
SN9C,,BCW 2 Heliport,Penha
SN9E,,Fazenda El Shadday Airport,São Félix do Xingu
SN9F,,Heliforte Heliport,Recife
SN9G,,Fazenda Nascente Airport,Rio Verde de Mato Grosso
SN9H,,Das Aroeiras Heliport,Angra dos Reis
SN9I,,Fazenda San José II Airport,Bandeirantes
SN9J,,Fazenda Mocambo Airport,Soure
SN9K,,Fazenda Santa Emília Airport,Marcelândia
SN9M,,Fazenda Castanhal Airport,Rondolândia
SN9N,,Bemad Portel Airport,Portel
SN9O,,Fazenda Pataca Airport,Novo Progresso
SN9P,,Fazenda Senhora Santana Airport,Paracatu
SN9Q,,Zeildo Lacerda Airport,Placas
SN9S,,Fazenda Rancho Fundo Airport,Novo Progresso
SN9T,,Fazenda Cristalina Airports,Nova Maringá
SN9U,,Ilha Império Heliport,Santa Fé do Sul
SN9V,,CCI Frutal Heliport,Frutal
SN9W,,Haras Império Heliport,Fernandópolis
SNA4,,Produzir Agropecuária Ltda - Fazenda Floresta Airport,Campo Verde
SNA6,,Fazenda Tamag Airport,Nova Ubiratã
SNA9,,Fazenda Renata Airport,São Félix do Araguaia
SNAB,JAW,Araripina Airport,Araripina
SNAC,,Fazenda Santa Rosa Airport,Xinguara
SNAD,,Fazenda Águia Branca Airport,Gurupi
SNAE,,Arcoverde Airport,Arcoverde
SNAG,,Araguari Airport,Araguari
SNAI,,Fazenda Nossa Senhora das Graças Airport,Jateí
SNAJ,,Fazenda Jaguaré Airport,Paragominas
SNAK,,Carajás Heliport,Parauapebas
SNAL,APQ,Arapiraca Airport,Arapiraca
SNAN,,Empresa Agrícola Chiapeta Airport,Chiapeta
SNAO,,Trimonte Jorge Mussi Airport,Casimiro de Abreu
SNAP,,Janaúba Airport,Janaúba
SNAQ,,Elisa Heliport,Jarinu
SNAR,AMJ,Cirilo Queiróz Airport,Almenara
SNAS,,Três Marias Airport,Três Marias
SNAU,,Aeroclube de Sergipe Airport,Aracaju
SNAV,,Agrovale Airport,Juazeiro
SNAX,AIF,Marcelo Pires Halzhausen Airport,Assis
SNB2,,Unidade ALB-URLA Heliport,Uberlândia
SNB4,,Fazenda Cantanhede Airport,Matões do Norte
SNB7,,Fazenda São Luiz Airport,Tuntum
SNBB,,Fazenda Agronol Airport,Luís Eduardo Magalhães
SNBC,BDC,Barra do Corda Airport,Barra do Corda
SNBF,,Fazenda Vale Verde Airport,Canarana
SNBG,,Baixo Guandu - Aimorés Airport,Baixo Guandu
SNBH,,Biocor Helipad,Nova Lima
SNBI,,Bacabal Airport,Bacabal
SNBL,,Fazenda Agropecuária Camargos Airstrip,Unaí
SNBM,,Cristiano Ferreira Varella Airport,Muriaé
SNBN,,Balbinot Airport,Portel
SNBQ,,Bela Cintra Heliport,São Paulo
SNBR,BRA,Dom Ricardo Weberberger Airport,Barreiras
SNBS,BSS,Balsas Airport,Balsas
SNBT,,Benedito Leite Airport,Benedito Leite
SNBU,,Fazenda Alegria Heliport,Funilândia
SNBX,BQQ,Barra Airport,Barra
SNBZ,,Paramirim Airport,Paramirim
SNC4,,Itapecuru Bioenergia Airport,Aldeias Altas
SNC7,,Fazenda Frange Airport,Juscimeira
SNC9,,Joia Rara Airport,São Salvador do Tocantins
SNCA,,Campo Belo Airport,Campo Belo
SNCB,,Castanhal Airport,Prainha
SNCD,,Catuama Heliport,Goiana
SNCE,,Campo do Meio Airport,Campo Do Meio
SNCH,,UTGCA Heliport,Caraguatatuba
SNCI,,Cibrasa Airport,Capanema
SNCJ,,Piquiatuba Airport,Santarém
SNCL,MXQ,Lorenzo Airport,Cairu
SNCM,,Caponga Heliport,Cascavel
SNCN,,Parque Cidade Heliport,Brasília
SNCO,,Agropecuária Santa Paola Airport,Tacuru
SNCP,EEA,Planalto Serrano Regional Airport,Correia Pinto
SNCR,,Viganó I Heliport,Belo Horizonte
SNCS,,Campos Sales Airport,Campos Sales
SNCT,,Ubaporanga Airport,Caratinga
SNCV,,Campina Verde Airport,Campina Verde
SNCW,,Alcântara Space Center Airport,Alcântara
SNCX,QCH,Colatina Airport,Colatina
SNCY,,Campo da Praia Airport,Coruripe
SNCZ,,Ponte Nova Airport,Ponte Nova
SND7,,DGL Heliport,São Roque de Minas
SND8,,GRP Heliport,Montes Claro
SND9,,Santa Fé Heliport,Avaré
SNDA,,Fazenda Vale Formoso Airstrip,Figueirópolis d'Oeste
SNDC,RDC,Redenção Airport,Redenção
SNDD,,Fazenda Eldorado Airport,Igarapé do Meio
SNDE,,BNDES Heliport,Rio de Janeiro
SNDH,,Aba Airport,Barreiras
SNDK,,C.T.O Itaú Heliport,São Paulo
SNDL,,Luciano Cavalcante Heliport,Paraipaba
SNDM,,Karina Heliport,Guarulhos
SNDN,,Cemaden - CIGE Heliport,Salvador
SNDO,,Ouro Branco Airport,Paracatu
SNDQ,,Fazenda Soya Airport,São Desidério
SNDR,,Domingos Rego Airport,Timon
SNDT,DTI,Diamantina Airport,Diamantina
SNDU,,Ponta Do Sol Airport,Capitólio
SNDV,DIQ,Brigadeiro Cabral Airport,Divinópolis
SNDX,,Cachoeira Airport,Coruripe
SNE2,,Fazenda Santa Rosa Heliport,Capão Bonito
SNE4,,Vale do Pontal Açucar e Etanol S.A. Airstrip,Limeira do Oeste
SNEB,JPE,Nagib Demachki Airport,Paragominas
SNEC,,Outeiros da Brisas Airport,Porto Seguro
SNED,CNV,Sócrates Rezende Airport,Canavieiras
SNEE,VCC,Vacaria Airport,Vacaria
SNEF,,Praia de Santa Rita Heliport,Parati
SNEG,,Fazenda Netolândia Airport,Tangará da Serra
SNEI,,Fazenda São Miguel Airport,Rio Pardo
SNEO,,Dezoito Airport,Nerópolis
SNEQ,,Ouro Negro Heliport,Rio De Janeiro
SNET,,Fazenda Estrela Airport,Sidrolândia
SNEU,,Euclides da Cunha Airport,Euclides Da Cunha
SNEV,,Posthaus Heliport,Blumenau
SNEW,,Fazenda Congonhas Airport,Carneirinho
SNEZ,,Fazenda Palmeira do Capim Airport,Novo Brasil
SNF2,,Engenheiro Francisco Alves Airport,Coroatá
SNF3,,Fazenda FS1 Airstrip,Itacajá
SNF8,,Fazenda Europa Airport,Vila Rica
SNF9,,Fazenda Latreille Airport,São Miguel do Guaporé
SNFA,,Fazenda Santo Antônio Airport,Unaí
SNFB,,Fazenda Minas Gerais Airport,Pontes E Lacerda
SNFE,,Comandante Paschoal Patrocínio Filho Airport,Alfenas
SNFF,,Feijó Airport,Fortaleza
SNFG,,Citropar Airport,Capitão Poço
SNFH,,Fazenda Dom Felipe Airport,Ponta Porã
SNFI,,Fazenda São José do Parnaíba Airport,Tupaciguara
SNFJ,,Pousada Thaimaçu Airport,Jacareacanga
SNFN,,Fazenda Santa Fé Airport,Jardinópolis
SNFO,,Formiga Airport,Formiga
SNFP,,Fazenda Pirapó Airport,Sorriso
SNFQ,,Fazenda Paineira Airport,São Sebastião da Bela Vista
SNFT,,Fazenda Serinhaém Airport,Ituberá
SNFU,,Frutal Airport,Frutal
SNFW,,São João do Piauí Airport,São João do Piauí
SNFX,SXX,São Félix do Xingu Airport,São Félix do Xingu
SNFZ,,Fazenda Villa Terezinha Airport,Bocaíuva
SNG2,,Fazenda Nossa Senhora do Carmo II,Comodoro
SNG3,,Estância Bahia Airport,Água Boa
SNG4,,Fazenda Iguaçu Airport,Itaituba
SNG6,,Fazenda Santa Barbara Airport,Uruçuí
SNG7,,Fazenda Cachimbo Airport,Nova Ubiratã
SNG8,,Morro dos Ventos Heliport,Chapada dos Guimarães
SNG9,,CETRIC Heliport,Chapecó
SNGA,GUZ,Guarapari Airport,Guarapari
SNGB,,Gilbués Airport,Gilbués
SNGD,GDP,Guadalupe Airport,Guadalupe
SNGE,,Ilha do Retiro Heliport,Recife
SNGF,,Fazenda Manacá Heliport,Gravatá
SNGG,,Bom Jesus do Gurguéia Airport,Bom Jesus Do Gurguéia
SNGI,GNM,Guanambi Airport,Guanambi
SNGK,,Fazenda Bela Vista Airport,Monte Alegre De Minas
SNGL,,Boa Vista Heliport,Porto Feliz
SNGM,,Fazenda Epemaju Airstrip,São Félix do Xingu
SNGN,QGP,Garanhuns Airport,Garanhuns
SNGP,,Fazenda Santa Maria Airport,Tupaciguara
SNGR,,Gorotire Airport,Gorotire
SNGS,,Aeroclube de Alagoas Airport,Maceió
SNGT,,Gentio de Ouro Airport,Gentio De Ouro
SNGX,,Guaxupé Airport,Guaxupé
SNGY,,Fazenda Santapazienza Heliport,Itatiba
SNGZ,,Bardahl Heliport,Cajamar
SNH2,,Salto do Avanhandava Heliport,Barbosa
SNHA,,Comandante Endeel Gabriel Helipad,São Luís
SNHB,,Base de Paracuru Heliport,Paracuru
SNHC,,Hospital Regional de Caraguatatuba Helipad,Caraguatatuba
SNHD,,Fazenda Floresta do Lobo Airport,Uberlândia
SNHE,,Fazenda Inhumas do Chapadão Airport,Uberaba
SNHF,,Figaro Heliport,Brasília
SNHG,,Fazenda Varjadão Airport,Sandolândia
SNHH,,Helibrás Heliport,Itajubá
SNHI,,Polo Industrial Heliport,Guamaré
SNHJ,,Usina de José Bonifácio Airport,José Bonifácio
SNHM,,HELPN Morro da Gavazza Heliport,Salvador
SNHN,,Megafort Heliport,Contagem
SNHR,,Fazenda Água Santa Airport,Perdizes
SNHS,SET,Santa Magalhães Airport,Serra Talhada
SNHT,,Togni Heliport,Poços De Caldas
SNHU,,FazendaBola Sete Airport,Itinga Do Maranhão
SNHV,,Vaska Heliport,Guarulhos
SNHW,,Fazenda Agro-Maratá Airport,Santa Luzia
SNHY,,Hospital Esperança Heliport,Recife
SNHZ,,Amazonas State Government Palace Heliport,Manaus
SNIB,,Itaberaba Airport,Itaberaba
SNIC,IRE,Irecê Airport,Irecê
SNID,,Instituto Doutor Arnaldo Heliport,São Paulo
SNIE,,Caetité Airport,Caetité
SNIF,,Fazenda Serra Dourada Airport,Itaituba
SNIG,QIG,Iguatu Airport,Iguatu
SNIJ,,Suape Helipad,Ipojuca
SNIM,,Pegoraro Joaçaba Heliport,Joaçaba
SNIN,,Prainha Airport,Prainha
SNIO,,Cipó Airport,Cipó
SNIP,QIT,Itapetinga Airport,Itapetinga
SNIQ,,Morro do Ouro II Heliport,Paracatu
SNIR,,Fazenda Mata Escura Airport,Parnarama
SNIS,,Fazenda Rio Largo Airport,Caxias
SNIT,,Ibotirama Airport,Ibotirama
SNIU,IPU,Ipiaú Airport,Ipiaú
SNIV,,Fazenda Jumari Airport,Ipiaçu
SNIW,,Fazenda Carmelo Airport,Maracaju
SNIX,,Fazenda Masutti Airport,Campos De Júlio
SNIZ,,Fazenda Jaqueline Airport,Vilhena
SNJ2,,Fazenda Serra da Prata Airport,Iracema
SNJA,,Capivari Airport,Capivari do Sul
SNJB,JCM,Jacobina Airport,Jacobina
SNJD,,Fazenda Jardim,Chapadão do Céu
SNJE,,Fazenda Trijunção Airport,Jaborandi
SNJF,,Rural Verde Airport,Sitio do Mato
SNJI,,Fazenda Fortaleza de Santa Terezinha Airport,Jequitaí
SNJJ,,Fazenda Vô Anízio Airport,Dois Irmãos Do Buriti
SNJK,JEQ,Jequié Airport,Jequié
SNJM,JMA,Aeroporto Elias Breder Airport,Manhuaçu
SNJN,JNA,Januária Airport,Januária
SNJP,,João Pinheiro Airport,João Pinheiro
SNJQ,,Jequitinhonha Airport,Jequitinhonha
SNJR,JDR,Prefeito Octávio de Almeida Neves Airport,São João Del Rei
SNJU,,Nossa Senhora da Penha Airport,São José do Xingu
SNJV,,Fazenda Santa Mônica Airport,São João Da Ponte
SNJX,,Hospital Monte Sinai Heliport,Juiz de Fora
SNJZ,,Fazenda Jaú Airport,São Félix do Xingu
SNK2,,Fazenda Igarapará Airport,Sapucaia
SNK3,,4 Ventos Heliport,Nova Lima
SNK8,,Walter Fernandez Heliport,São Gonçalo dos Campos
SNK9,,Fazenda Vereda Airport,São Desidério
SNKA,,Fazenda Perto d`Água Heliport,Avaré
SNKB,,Aeroclube Airport,Campina Grande
SNKC,,Cocos Airport,Cocos
SNKD,,Conceição do Mato Dentro Airport,Conceição Do Mato Dentro
SNKE,,Fazenda São Francisco Airstrip,Morada Nova de Minas
SNKF,,Das Bandeirinhas Airport,Conselheiro Lafaiete
SNKH,,Creputiá Airport,Creputiá
SNKI,CDI,Cachoeiro do Itapemirim - Raimundo de Andrade Airport,Cachoeiro do Itapemirim
SNKJ,,Fazenda Rio Dourado Airport,Cumaru Do Norte
SNKK,,Caicó Airport,Caicó
SNKN,QCP,Currais Novos Airport,Currais Novos
SNKO,,Brotas de Macaúbas Airport,Brotas de Macaúbas
SNKP,,Conquista do Pontal Airport,Mirante do Paranapanema
SNKR,,Corrente Airport,Corrente
SNKS,,Santa Rita de Cássia Airport,Santa Rita de Cássia
SNKU,,Canudos Airport,Canudos
SNKV,,Fazenda Campo Verde Airport,Tartarugalzinho
SNKY,,Fazenda Cikel Airport,Paragominas
SNL2,,Fazenda Diamantina Airport,Alto Alegre
SNL3,,Fazenda Riozinho Airport,Corumbá
SNL4,,Fazenda Campo Belo Airport,Corumbá
SNL7,,Vale do Sol Airstrip,São Gabriel do Oeste
SNL8,,Fazenda Santa Catarina Airstrip,Paranaíta
SNL9,,Fazenda Canelão Airstrip,Rancharia
SNLA,,Fazenda Lagoa das Antas Airport,Canaã Dos Carajás
SNLB,,Fazenda Magdalena Airstrip,Lábrea
SNLG,,Serra do Cipó Airport,Jaboticatubas
SNLI,,Abaeté Airport,Abaeté
SNLL,,Brennand Heliport,Ipojuca
SNLN,LHN,Linhares Municipal Airport,Linhares
SNLO,SSO,São Lourenço Airport,São Lourenço
SNLQ,,Fazenda Conforto Airport,Nova Crixás
SNLR,,Itautec Heliport,São Paulo
SNLT,,Paulistana Airport,Paulistana
SNLU,,Fazenda Boa Luz Airport,Laranjeiras
SNLY,,Lagoa da Prata Airport,Lagoa Da Prata
SNLZ,,Fazenda Boca da Mata Airport,Divinópolis Do Tocantins
SNM3,,Fazenda Cambá Rase Airstrip,Porto Murtinho
SNM4,,Fazenda São Pedro Airport,Corumbiara
SNM6,,Fazenda Mimosa Airport,Ivinhema
SNM8,,Fazenda Zago Airstrip,Formosa do Rio Preto
SNM9,,Associação Quilombola de Pedras Negras do Guaporé Airport,São Francisco do Guaporé
SNMA,MTE,Monte Alegre Airport,Monte Alegre
SNMC,,Macaúbas Airport,Macaúbas
SNMD,,Mundico Coelho Airport,Itaituba
SNME,,Costa dos Coqueiros Airport,Mata De São João
SNMF,,Agropastoril Monte Alegre Airport,Monte Belo
SNMG,,Miguel Dias Heliport,Fortaleza
SNMI,,Mina Caraíba Airport,Jaguarari
SNMJ,,Maracás Airport,Maracás
SNMK,,Mocambinho Airport,Jaíba
SNML,,Manduca Leão Airport,Rio Largo
SNMN,,Minas Novas Airport,Minas Novas
SNMP,,Fazenda Marocopa Airport,Paracatu
SNMQ,,Tigre Heliport,Joinville
SNMR,,Maraú Airport,Maraú
SNMT,,Profitus Helipad,Ilhabela
SNMU,MVS,Mucuri Airport,Mucuri
SNMV,,Fazenda Flávia Airport,Alcinópolis
SNMX,SBJ,São Mateus - Ernesto Bonomo Airport,São Mateus
SNMY,,Medic Life Helipad,Barueri
SNMZ,PTQ,Porto de Moz Airport,Porto De Moz
SNN2,,Comandante Dantas Heliport,Arujá
SNN3,,Fazenda Milanin Airstrip,Lábrea
SNN4,,Ninho da Águia Heliport,Taquarituba
SNN6,,Pousada Aguapé Airstrip,Aquidauana
SNN7,,Fazenda Faedo Airport,Fernando Falcão
SNNB,,Fazenda Cana Brava Airport,Paracatu
SNNC,,Rio Capim Airport,Ipixuna Do Pará
SNNE,,São João Nepomuceno Airport,São João Nepomuceno
SNNF,,Nossa Senhora de Fátima Airport,Teresina
SNNJ,,Fazenda Santa Cruz Airport,Iaciara
SNNM,,Entre Rios - Vitória Airport,Guarapuava
SNNN,,Fazenda Buriti II Airport,Arinos
SNNO,,Fazenda São Domingos Airport,Comodoro
SNNP,,Nilo Peçanha Airport,Nilo Peçanha
SNNU,NNU,Nanuque Airport,Nanuque
SNNX,,Fazenda Boa Vista Airport,Corumbiara
SNOB,,Sobral Airport,Sobral
SNOC,,Morro do Chapéu Airport,Morro do Chapéu
SNOD,,SKYJU Airport,Estância
SNOE,,Oeiras Airport,Oeiras
SNOF,,Ouro Fino Airport,Ouro Fino
SNOG,,Ceará-Mirim Airport,Ceará-Mirim
SNOI,,Fazenda Rio Mutuca Airport,Juara
SNOK,,Fazenda Chão de Estrelas Airport,Aurora Do Pará
SNOL,,Agropecuária Mariana Airport,Alta Floresta
SNOM,,Fazenda Guaporeí Airport,Vila Bela Da Santíssima Trindade
SNON,,Royal Palm Hall Helipad.,Campinas
SNOQ,,Fazenda Agropecuária Crioulo Airport,Tacuru
SNOS,PSW,Municipal José Figueiredo Airport,Passos
SNOT,,Fazenda Santa Fé do Guaporé Airport,Comodoro
SNOU,FEJ,Feijó Airport,Feijó
SNOV,,Povoado de Camaçari Airport,Coruripe
SNOW,,Fazenda Turmalina Airport,Martinópolis
SNOX,ORX,Oriximiná Airport,Oriximiná
SNOZ,,Coronel Alexandre Raposo Airport,Paço Do Lumiar
SNPA,,Pará de Minas Airport,Pará de Minas
SNPC,PCS,Picos Airport,Picos
SNPD,POJ,Patos de Minas Airport,Patos de Minas
SNPI,,De Piatã Airport,Piatã
SNPJ,,Patrocínio Airport,Patrocínio
SNPK,,WF Heliport,Pomerode
SNPL,,Fazenda Pacuruxu Airport,Santa Mercedes
SNPN,,Fazenda Água Fria Airport,Lavínia
SNPO,,Pompeu Airport,Pompeu
SNPP,,Morro de São Paulo Airport,Cairu
SNPQ,,Pesqueira Airport,Pesqueira
SNPR,,Gilson Machado Heliport,Gravatá
SNPS,,Fazenda Córrego da Ponte Airport,Buritis
SNPU,,Paraguaçu Airport,Paraguaçu
SNPV,,Solidão Airport,Mostardas
SNPX,PIV,Pirapora Airport,Pirapora
SNPY,,São Sebastião do Paraíso Airport,São Sebastião Do Paraíso
SNPZ,,Pedra Azul Airport,Pedra Azul
SNQ4,,Latam Três Rios Heliport,Três Rios
SNQ6,,Fazenda Água Branca Airport,Cáceres
SNQ7,,Fazenda Santa Rita Airstrip,Anaurilândia
SNQ8,,Fazenda América Airport,Porto Velho
SNQ9,,Fazenda Santa Rita Airport,Tomé-Açu
SNQA,,Fazenda Tracajá Airport,Paragominas
SNQC,,IGESP Heliport,São Paulo
SNQD,,Sousa Airport,Sousa
SNQE,,Fazenda Serra Grande Airport,Parauapebas
SNQG,FLB,Cangapara Airport,Floriano
SNQH,,Wheaton Heliport,São Bernardo do Campo
SNQI,,Fazenda Camagril Agropecuária Airport,Diamantino
SNQK,,Muro Alto Beach Resort Heliport,Ipojuca
SNQM,,Queimadas Airport,Queimadas
SNQN,,Fazenda Estrela Airport,Canarana
SNQP,,Fazenda São Francisco Airport,Magda
SNQR,,Fazenda Bahia - Don Bosco Airport,Poconé
SNQS,,Fazenda Nossa Senhora Auxiliadora Airport,Ivinhema
SNQT,,Fazenda Estrela do Sul Airport,Umuarama
SNQU,CHD,Mucugê Airport,Mucugê
SNQV,,Curvelo Airport,Curvelo
SNQW,,Cururu Airport,Jacareacanga
SNQX,,Quixadá Airport,Quixadá
SNQY,,Colina Verde Heliport,Ribeirão Preto
SNR2,,Renascer Airstrip.,Cândido Sales
SNR3,,Tassiana Airport,Sinop
SNR6,,Fazenda Vale Verde Airport,Santana do Araguaia
SNR7,,Santa Agro 1 Airstrip,Guajará-Mirim
